x,y,is_header,under_pressure,num_defenders,num_teammates,gk_x,gk_y,on_target,placement_y,placement_z,is_goal
104.8,23.5,0,1,10,7,118.2,37.3,0,40.0,0.0,0
86.3,46.3,0,1,10,8,117.9,40.3,0,40.0,0.0,0
104.0,39.0,1,1,10,5,118.5,39.7,1,38.5,0.4,0
96.8,52.1,0,1,10,8,118.6,41.6,0,40.0,0.0,0
97.9,27.0,0,1,10,7,118.4,37.7,0,40.0,0.0,0
94.8,61.9,0,1,10,6,118.6,41.1,1,39.3,0.5,0
111.0,52.0,0,1,9,5,118.0,44.1,1,43.7,0.4,0
94.2,57.0,0,1,10,7,118.0,41.3,0,40.0,0.0,0
108.9,42.6,0,1,7,4,118.1,41.7,0,40.0,0.0,0
109.2,38.6,1,1,10,7,119.0,40.1,0,40.0,0.0,0
94.2,27.2,0,1,10,8,118.3,38.8,0,40.0,0.0,0
108.1,43.9,1,1,8,4,118.3,40.9,0,40.0,0.0,0
110.5,39.5,0,1,9,6,118.7,41.0,0,40.0,0.0,0
93.0,25.1,0,1,9,6,117.6,37.8,1,37.4,2.0,0
106.4,24.4,0,1,8,4,117.2,36.3,1,36.9,3.0,0
108.6,51.2,0,1,5,3,116.8,42.9,0,40.0,0.0,0
110.0,42.8,1,1,9,5,118.4,40.4,0,40.0,0.0,0
113.2,36.1,0,1,8,4,118.2,36.4,0,40.0,0.0,0
100.1,32.9,0,1,6,2,114.4,37.3,1,36.3,0.3,0
106.5,28.3,0,1,7,3,117.0,36.9,0,40.0,0.0,0
99.2,53.9,0,1,8,4,116.4,42.9,0,40.0,0.0,0
98.8,24.7,0,1,6,4,118.6,37.0,0,40.0,0.0,0
95.3,40.1,0,1,9,5,116.2,40.1,0,40.0,0.0,0
105.3,20.7,0,1,10,4,118.4,37.3,1,38.6,1.4,0
109.9,37.5,1,1,10,7,119.3,40.0,1,39.2,2.4,0
111.2,40.8,1,1,10,8,119.0,40.0,0,40.0,0.0,0
100.5,38.2,0,1,9,6,118.7,39.0,0,40.0,0.0,0
110.1,35.6,1,1,8,3,118.6,39.2,1,40.1,0.9,0
99.0,32.1,0,1,9,5,117.2,38.7,0,40.0,0.0,0
109.7,35.9,1,1,8,4,118.4,39.0,1,38.3,2.1,0
101.3,48.2,0,1,8,5,118.2,42.4,0,40.0,0.0,0
108.7,54.1,0,1,9,5,118.9,43.4,0,40.0,0.0,0
102.0,50.5,0,1,9,8,118.1,40.8,0,40.0,0.0,0
115.1,38.7,0,1,8,6,118.6,41.6,1,36.4,1.9,1
114.2,56.9,0,1,7,3,118.5,44.5,0,40.0,0.0,0
110.0,25.2,0,1,7,4,118.2,36.1,1,36.1,0.2,0
114.1,38.7,1,1,6,4,118.8,40.6,0,40.0,0.0,0
97.0,43.3,0,1,10,9,118.1,40.8,0,40.0,0.0,0
90.8,21.8,0,1,9,6,117.0,38.5,0,40.0,0.0,0
111.0,35.6,1,1,10,7,117.5,38.1,0,40.0,0.0,0
111.1,39.5,0,1,6,4,112.0,39.7,1,39.7,0.2,0
105.1,23.9,0,1,5,2,114.6,34.3,1,34.3,0.2,0
96.9,32.0,0,1,9,5,118.7,39.2,0,40.0,0.0,0
101.9,43.3,0,1,8,4,118.7,40.8,0,40.0,0.0,0
82.9,33.6,0,1,6,3,114.6,40.5,0,40.0,0.0,0
96.7,46.7,0,1,8,4,117.9,40.6,0,40.0,0.0,0
94.5,37.4,0,1,10,8,118.8,41.3,0,40.0,0.0,0
117.8,31.5,0,1,6,3,118.7,36.4,0,40.0,0.0,0
114.7,35.7,0,1,7,5,118.2,37.1,1,36.8,0.2,0
105.2,33.9,0,1,8,4,115.7,37.9,0,40.0,0.0,0
98.8,39.3,0,1,8,5,115.5,39.7,0,40.0,0.0,0
94.0,38.6,0,1,7,4,118.3,39.2,0,40.0,0.0,0
115.3,29.2,1,1,7,2,117.7,34.8,1,34.6,0.9,0
112.7,38.8,0,1,8,5,119.0,40.5,0,40.0,0.0,0
88.5,31.5,0,1,10,9,118.7,40.5,1,42.0,1.6,0
